species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Si I	ns (1/2,1/2)* J=1	13–21	9	7	untested	11.1–19.1	+1.8765	0.0105	1	65,747.760	published	unverified
Si I	nd (1/2,3/2)* J=1	14–44	29	27	27/27	14.0–43.9	+0.0612	0.0310	1	65,747.760	published	unverified
Si I	nd (1/2,3/2)* J=1	9–44†	34	32	untested	9.0–43.9	+0.0584	0.0312	1	65,747.760	published	unverified
Si I	nd (3/2,3/2)* J=0	8–13	6	4	4/4	8.1–13.1	-0.0680	0.0129	1	66,035.000	published	unverified
Si I	nd (3/2,3/2)* J=1	20–50	31	29	untested	20.0–50.0	+0.0129	0.0444	1	66,035.000	published	unverified
Si I	nd (3/2,5/2)* J=1	8–13	6	4	4/4	7.9–12.9	+0.0784	0.0064	1	66,035.000	published	unverified
Si I	nd (3/2,5/2)* J=3	20–56	37	35	untested	19.9–56.0	+0.0573	0.0366	1	66,035.000	published	unverified
Si I	nd (3/2,3/2)* J=0	8–16	9	7	untested	8.1–16.0	-0.0609	0.0146	1	66,035.000	published	unverified
Si I	nd (3/2,5/2)* J=1	8–16	9	7	untested	7.9–15.9	+0.0816	0.0073	1	66,035.000	published	unverified
B III	nd 2D J=3/2	3–11	9	7	untested	3.0–11.0	+0.0023	0.0002	3	305,930.800	published	unverified
B III	nf 2F* J=5/2	4–11	8	6	untested	4.0–11.0	+0.0003	0.0000	3	305,930.800	published	unverified
B III	ng 2G J=7/2	5–10	6	4	untested	5.0–10.0	+0.0001	0.0000	3	305,930.800	published	unverified
B III	nh 2H* J=9/2	6–10	5	3	untested	6.0–10.0	+0.0000	0.0000	3	305,930.800	published	unverified
B III	np 2P* J=1/2	2–9	8	6	untested	2.0–9.0	+0.0437	0.0007	3	305,930.800	published	unverified
B III	ns 2S J=1/2	2–9	8	6	untested	1.8–8.8	+0.1959	0.0030	3	305,930.800	published	unverified
Be III	1s.nd 1D J=2	3–10	8	6	untested	3.0–10.0	+0.0008	0.0002	3	1,241,256.601	published	unverified
Be III	1s.nd 3D J=2	3–10	8	6	untested	3.0–10.0	+0.0023	0.0002	3	1,241,256.601	published	unverified
Be III	1s.nf 1F* J=3	4–9	6	4	untested	4.0–9.0	+0.0002	0.0001	3	1,241,256.601	published	unverified
Be III	1s.ng 1G J=4	5–9	5	3	untested	5.0–9.0	+0.0002	0.0001	3	1,241,256.601	published	unverified
Be III	1s.nh 1H* J=5	6–9	4	2	untested	6.0–9.0	+0.0000	0.0000	3	1,241,256.601	published	unverified
Be III *	1s.ni 1I J=6	7–8	2	1	untested	7.0–8.0	+0.0000	0.0000	3	1,241,256.601	published	unverified
Be III	1s.np 3P* J=1	2–10	9	7	untested	2.0–10.0	+0.0429	0.0001	3	1,241,256.601	published	unverified
Be III	1s.ns 1S J=0	2–10	9	7	untested	1.9–9.9	+0.0508	0.0003	3	1,241,256.601	published	unverified
Be III	1s.ns 3S J=1	2–10	9	7	untested	1.9–9.9	+0.1302	0.0028	3	1,241,256.601	published	unverified
Be IV	nd 2D J=3/2	3–10	8	6	untested	3.0–10.0	+0.0002	0.0000	4	1,756,018.810	published	unverified
Be IV	nf 2F* J=5/2	4–10	7	5	untested	4.0–10.0	+0.0001	0.0000	4	1,756,018.810	published	unverified
Be IV	ng 2G J=7/2	5–10	6	4	untested	5.0–10.0	+0.0001	0.0000	4	1,756,018.810	published	unverified
Be IV	nh 2H* J=9/2	6–10	5	3	untested	6.0–10.0	+0.0000	0.0000	4	1,756,018.810	published	unverified
Be IV	ni 2I J=11/2	7–10	4	2	untested	7.0–10.0	+0.0000	0.0000	4	1,756,018.810	published	unverified
Be IV	nk 2K* J=13/2	8–10	3	1	untested	8.0–10.0	+0.0000	0.0000	4	1,756,018.810	published	unverified
Be IV	np 2P* J=1/2	3–10	8	6	untested	3.0–10.0	+0.0004	0.0000	4	1,756,018.810	published	unverified
Be IV	ns 2S J=1/2	3–10	8	6	untested	3.0–10.0	+0.0004	0.0000	4	1,756,018.810	published	unverified
Mg III *	nd 2[1/2]* J=1	4–5	2	1	untested	3.9–4.9	+0.0934	0.0014	3	646,402.000	published	unverified
Mg III	nd 2[3/2]* J=1	4–9	6	4	untested	4.0–9.0	+0.0388	0.0017	3	646,402.000	published	unverified
Mg III *	nf 2[3/2] J=1	4–5	2	1	untested	4.0–5.0	+0.0111	0.0005	3	646,402.000	published	unverified
Mg III *	nf 2[3/2] J=2	4–5	2	1	untested	4.0–5.0	+0.0108	0.0004	3	646,402.000	published	unverified
Mg III *	nf 2[5/2] J=3	4–5	2	1	untested	4.0–5.0	+0.0039	0.0003	3	646,402.000	published	unverified
Mg III *	nf 2[7/2] J=3	4–5	2	1	untested	4.0–5.0	+0.0000	0.0004	3	646,402.000	published	unverified
Mg III *	nf 2[7/2] J=4	4–5	2	1	untested	4.0–5.0	-0.0000	0.0004	3	646,402.000	published	unverified
Mg III *	nf 2[9/2] J=4	4–5	2	1	untested	4.0–5.0	+0.0073	0.0004	3	646,402.000	published	unverified
Mg III *	nf 2[9/2] J=5	4–5	2	1	untested	4.0–5.0	+0.0073	0.0004	3	646,402.000	published	unverified
Mg III	ns 2[3/2]* J=1	4–6	3	1	untested	3.1–5.2	+0.8487	0.0050	3	646,402.000	published	unverified
Mg III *	ns 2[3/2]* J=2	4–5	2	1	untested	3.1–4.1	+0.8634	0.0030	3	646,402.000	published	unverified
Al III	nd 2D J=5/2	3–8	6	4	untested	2.9–7.9	+0.0644	0.0071	3	229,445.710	published	unverified
Al III	nf 2F* J=5/2	4–9	6	4	untested	4.0–9.0	+0.0044	0.0005	3	229,445.710	published	unverified
Al III	ng 2G J=7/2	5–9	5	3	untested	5.0–9.0	+0.0010	0.0001	3	229,445.710	published	unverified
Al III	nh 2H* J=9/2	6–9	4	2	untested	6.0–9.0	+0.0003	0.0000	3	229,445.710	published	unverified
Al III	np 2P* J=1/2	3–7	5	3	untested	2.4–6.4	+0.6056	0.0128	3	229,445.710	published	unverified
Al III	ns 2S J=1/2	3–8	6	4	untested	2.1–7.1	+0.9049	0.0098	3	229,445.710	published	unverified
Si III	nd 1D J=2	3–9	7	5	untested	3.1–9.0	+0.0507	0.1195	3	270,139.300	published	unverified
Si III	nd 3D J=3	3–9	7	5	untested	2.8–8.8	+0.1977	0.0294	3	270,139.300	published	unverified
Si III	nf 1F* J=3	4–9	6	4	untested	3.9–9.0	+0.0240	0.1413	3	270,139.300	published	unverified
Si III	nf 3F* J=2	4–9	6	4	untested	4.0–9.0	+0.0226	0.0272	3	270,139.300	published	unverified
Si III	nf 3F* J=3	4–9	6	4	untested	4.0–9.0	+0.0224	0.0275	3	270,139.300	published	unverified
Si III	nf 3F* J=4	4–9	6	4	untested	4.0–9.0	+0.0221	0.0280	3	270,139.300	published	unverified
Si III	ng 1G J=4	5–8	4	2	untested	5.0–8.0	+0.0266	0.0040	3	270,139.300	published	unverified
Si III	ng 3G J=3	5–9	5	3	untested	5.0–9.0	+0.0281	0.0047	3	270,139.300	published	unverified
Si III	ng 3G J=4	5–9	5	3	untested	5.0–9.0	+0.0281	0.0047	3	270,139.300	published	unverified
Si III	ng 3G J=5	5–9	5	3	untested	5.0–9.0	+0.0280	0.0047	3	270,139.300	published	unverified
Si III	nh 1H* J=5	6–9	4	2	untested	6.0–9.0	+0.0082	0.0007	3	270,139.300	published	unverified
Si III	nh 3H* J=5	7–9	3	1	untested	7.0–9.0	+0.0086	0.0004	3	270,139.300	published	unverified
Si III	nh 3H* J=6	6–9	4	2	untested	6.0–9.0	+0.0082	0.0007	3	270,139.300	published	unverified
Si III	ni 1I J=6	7–9	3	1	untested	7.0–9.0	+0.0033	0.0002	3	270,139.300	published	unverified
Si III	ni 3I J=7	7–9	3	1	untested	7.0–9.0	+0.0033	0.0002	3	270,139.300	published	unverified
Si III	np 1P* J=1	4–7	4	2	untested	3.2–6.3	+0.7576	0.0165	3	270,139.300	published	unverified
Si III	np 3P* J=0	4–7	4	2	untested	3.2–6.3	+0.7563	0.0149	3	270,139.300	published	unverified
Si III	ns 1S J=0	4–8	5	3	untested	3.0–7.0	+1.0185	0.0017	3	270,139.300	published	unverified
Si III	ns 3S J=1	4–8	5	3	untested	2.9–7.0	+1.0646	0.0175	3	270,139.300	published	unverified
Ar II	3s2.3p4.(3P).nd 4D J=7/2	3–5	3	1	untested	2.2–4.4	+0.6930	0.0749	2	222,848.300	published	unverified
Ar II	3s2.3p4.(3P).ns 4P J=1/2	4–6	3	1	untested	2.2–4.4	+1.6821	0.0615	2	222,848.300	published	unverified
Ar II	3s2.3p4.(3P).ns 4P J=3/2	4–6	3	1	untested	2.2–4.3	+1.7246	0.0283	2	222,848.300	published	unverified
Ar II	3s2.3p4.(3P).ns 4P J=5/2	4–6	3	1	untested	2.2–4.3	+1.7463	0.0203	2	222,848.300	published	unverified
B IV	1s.nd 1D J=2	3–10	8	6	untested	3.0–10.0	+0.0007	0.0002	4	2,091,995.451	published	unverified
B IV	1s.nd 3D J=1	3–10	8	6	untested	3.0–10.0	+0.0021	0.0003	4	2,091,995.451	published	unverified
B IV	1s.nf 1F* J=3	4–9	6	4	untested	4.0–9.0	+0.0004	0.0005	4	2,091,995.451	published	unverified
B IV	1s.ng 1G J=4	5–9	5	3	untested	5.0–9.0	+0.0002	0.0004	4	2,091,995.451	published	unverified
B IV	1s.nh 1H* J=5	6–9	4	2	untested	6.0–9.0	-0.0002	0.0002	4	2,091,995.451	published	unverified
B IV *	1s.ni 1I J=6	7–8	2	1	untested	7.0–8.0	-0.0003	0.0003	4	2,091,995.451	published	unverified
B IV	1s.np 1P* J=1	3–10	8	6	untested	3.0–10.0	-0.0096	0.0003	4	2,091,995.451	published	unverified
B IV	1s.np 3P* J=0	3–10	8	6	untested	3.0–10.0	+0.0350	0.0001	4	2,091,995.451	published	unverified
B IV	1s.ns 1S J=0	3–10	8	6	untested	3.0–10.0	+0.0392	0.0004	4	2,091,995.451	published	unverified
B IV	1s.ns 3S J=1	3–10	8	6	untested	2.9–9.9	+0.1011	0.0009	4	2,091,995.451	published	unverified
B V	nd 2D J=3/2	3–10	8	6	untested	3.0–10.0	+0.0005	0.0002	5	2,744,111.380	derived	unverified
B V	nf 2F* J=5/2	4–10	7	5	untested	4.0–10.0	+0.0004	0.0002	5	2,744,111.380	derived	unverified
B V	ng 2G J=7/2	5–9	5	3	untested	5.0–9.0	+0.0003	0.0002	5	2,744,111.380	derived	unverified
B V	nh 2H* J=9/2	6–9	4	2	untested	6.0–9.0	+0.0003	0.0001	5	2,744,111.380	derived	unverified
B V	ni 2I J=11/2	7–9	3	1	untested	7.0–9.0	+0.0004	0.0001	5	2,744,111.380	derived	unverified
B V *	nk 2K* J=13/2	8–9	2	1	untested	8.0–9.0	+0.0004	0.0001	5	2,744,111.380	derived	unverified
B V	np 2P* J=1/2	3–10	8	6	untested	3.0–10.0	+0.0008	0.0002	5	2,744,111.380	derived	unverified
B V	ns 2S J=1/2	3–10	8	6	untested	3.0–10.0	+0.0008	0.0002	5	2,744,111.380	derived	unverified
Si IV	nd 2D J=5/2	3–8	6	4	untested	2.9–7.9	+0.0802	0.0079	4	364,093.100	published	unverified
Si IV	nf 2F* J=5/2	4–8	5	3	untested	4.0–8.0	+0.0054	0.0007	4	364,093.100	published	unverified
Si IV	ng 2G J=7/2	5–8	4	2	untested	5.0–8.0	+0.0011	0.0001	4	364,093.100	published	unverified
Si IV *	nh 2H* J=9/2	6–7	2	1	untested	6.0–7.0	+0.0003	0.0001	4	364,093.100	published	unverified
Si IV	np 2P* J=1/2	3–8	6	4	untested	2.4–7.5	+0.5262	0.0121	4	364,093.100	published	unverified
Si IV	ns 2S J=1/2	3–8	6	4	untested	2.2–7.2	+0.7845	0.0094	4	364,093.100	published	unverified
P IV	nd 1D J=2	4–6	3	1	untested	3.8–5.8	+0.1991	0.0295	4	415,551.800	derived	unverified
P IV	nd 3D J=1	4–6	3	1	untested	3.8–5.8	+0.2312	0.0239	4	415,551.800	derived	unverified
P IV	nf 3F* J=2	4–6	3	1	untested	4.0–5.9	+0.0597	0.0170	4	415,551.800	derived	unverified
P IV	np 1P* J=1	4–6	3	1	untested	3.3–5.4	+0.6991	0.0588	4	415,551.800	derived	unverified
P IV	np 3P* J=0	4–6	3	1	untested	3.3–5.3	+0.6699	0.0079	4	415,551.800	derived	unverified
P IV	ns 1S J=0	4–6	3	1	untested	3.1–5.1	+0.9018	0.0111	4	415,551.800	derived	unverified
P IV	ns 3S J=1	4–7	4	2	untested	3.1–6.0	+0.9498	0.0073	4	415,551.800	derived	unverified
C V	1s.nd 1D J=2	3–7	5	3	untested	3.0–7.0	+0.0108	0.0077	5	3,162,788.800	derived	unverified
C V	1s.nd 3D J=1	3–7	5	3	untested	3.0–7.0	+0.0122	0.0078	5	3,162,788.800	derived	unverified
C V	1s.nf 1F* J=3	4–6	3	1	untested	4.0–6.0	+0.0092	0.0042	5	3,162,788.800	derived	unverified
C V	1s.nf 3F* J=3	4–6	3	1	untested	4.0–6.0	+0.0092	0.0041	5	3,162,788.800	derived	unverified
C V	1s.ng 1G J=4	5–7	3	1	untested	5.0–7.0	+0.0152	0.0059	5	3,162,788.800	derived	unverified
C V	1s.ng 3G J=4	5–7	3	1	untested	5.0–7.0	+0.0153	0.0059	5	3,162,788.800	derived	unverified
C V *	1s.nh 1H* J=5	6–7	2	1	untested	6.0–7.0	+0.0186	0.0042	5	3,162,788.800	derived	unverified
C V	1s.np 1P* J=1	2–7	6	4	untested	2.0–7.0	+0.0002	0.0084	5	3,162,788.800	derived	unverified
C V	1s.np 3P* J=0	2–7	6	4	untested	2.0–6.9	+0.0384	0.0075	5	3,162,788.800	derived	unverified
C V	1s.ns 1S J=0	2–7	6	4	untested	2.0–6.9	+0.0399	0.0079	5	3,162,788.800	derived	unverified
C V	1s.ns 3S J=1	2–7	6	4	untested	1.9–6.9	+0.0927	0.0063	5	3,162,788.800	derived	unverified
S V	3s.nd 1D J=2	4–6	3	1	untested	3.8–5.8	+0.1819	0.0275	5	586,610.400	derived	unverified
S V	3s.nd 3D J=1	4–7	4	2	untested	3.8–6.8	+0.2170	0.0211	5	586,610.400	derived	unverified
S V	3s.nf 1F* J=3	4–6	3	1	untested	4.0–6.0	+0.0002	0.0246	5	586,610.400	derived	unverified
S V	3s.nf 3F* J=2	4–6	3	1	untested	4.0–5.9	+0.0637	0.0116	5	586,610.400	derived	unverified
S V	3s.np 1P* J=1	4–7	4	2	untested	3.4–6.4	+0.5900	0.0229	5	586,610.400	derived	unverified
S V	3s.np 3P* J=0	4–6	3	1	untested	3.4–5.3	+0.6221	0.0348	5	586,610.400	derived	unverified
S V	3s.ns 1S J=0	4–7	4	2	untested	3.2–6.2	+0.8043	0.0144	5	586,610.400	derived	unverified
S V	3s.ns 3S J=1	4–7	4	2	untested	3.2–6.1	+0.8428	0.0080	5	586,610.400	derived	unverified
Fe XV *	nd 3D J=1	4–5	2	1	untested	3.9–4.9	+0.1278	0.0017	15	3,679,500.000	published	unverified
Fe XV	nf 1F* J=3	4–6	3	1	untested	4.0–6.5	-0.2367	0.2030	15	3,679,500.000	published	unverified
Fe XV *	nf 3F* J=2	4–5	2	1	untested	4.0–5.0	+0.0371	0.0016	15	3,679,500.000	published	unverified
Fe XV *	np 1P* J=1	4–5	2	1	untested	3.7–4.7	+0.2872	0.0017	15	3,679,500.000	published	unverified
Ca IX	nd 1D J=2	4–6	3	1	untested	3.9–5.8	+0.1572	0.0090	9	1,520,640.000	published	unverified
Ca IX *	nf 1F* J=3	4–5	2	1	untested	4.0–5.0	+0.0124	0.0050	9	1,520,640.000	published	unverified
Ca IX	np 1P* J=1	4–6	3	1	untested	3.6–5.6	+0.4121	0.0041	9	1,520,640.000	published	unverified
Ca IX *	ns 3S J=1	4–5	2	1	untested	3.4–4.4	+0.5725	0.0078	9	1,520,640.000	published	unverified
Ti XI *	nf 1F* J=3	4–5	2	1	untested	4.0–5.0	+0.0129	0.0041	11	2,137,900.000	published	unverified
Ti XI	np 1P* J=1	4–7	4	2	untested	3.6–6.7	+0.3273	0.0161	11	2,137,900.000	published	unverified
Ti XI *	ns 1S J=0	4–5	2	1	untested	3.5–4.5	+0.4738	0.0070	11	2,137,900.000	published	unverified
Ti XI *	ns 3S J=1	4–5	2	1	untested	3.5–4.5	+0.4983	0.0067	11	2,137,900.000	published	unverified
Ti III *	nd 1F J=3	4–5	2	1	untested	3.2–4.2	+0.7987	0.0056	3	223,827.100	derived	unverified
Ti III *	nd 3D J=1	4–5	2	1	untested	3.2–4.2	+0.7899	0.0076	3	223,827.100	derived	unverified
Ti III *	np 1D* J=2	4–5	2	1	untested	2.6–3.6	+1.4159	0.0063	3	223,827.100	derived	unverified
Ti III *	np 3D* J=1	4–5	2	1	untested	2.6–3.6	+1.4039	0.0025	3	223,827.100	derived	unverified
Ti III *	np 3F* J=2	4–5	2	1	untested	2.6–3.6	+1.3956	0.0072	3	223,827.100	derived	unverified
Ti III *	ns 1D J=2	4–5	2	1	untested	2.3–3.3	+1.6726	0.0013	3	223,827.100	derived	unverified
Ti III *	ns 3D J=1	4–5	2	1	untested	2.3–3.3	+1.6901	0.0041	3	223,827.100	derived	unverified
Ca II	ns 2S J=1/2	4–6	3	1	untested	2.1–4.2	+1.8338	0.0183	2	95,751.880	published	verified
Ca II	nd 2D J=3/2	3–16	14	12	untested	2.3–15.4	+0.6341	0.0154	2	95,751.870	published	verified
Ca II	nf 2F* J=5/2	4–10	7	5	untested	4.0–10.0	+0.0248	0.0029	2	95,751.870	published	unverified
Ca II	ng 2G J=7/2	5–9	5	3	untested	5.0–9.0	+0.0048	0.0004	2	95,751.870	published	unverified
Ca II *	nh 2H* J=9/2	8–10†	2	1	untested	8.0–10.0	+0.0016	0.0000	2	95,751.870	published	unverified
Ca II	np 2P* J=1/2	4–6	3	1	untested	2.5–4.5	+1.4775	0.0207	2	95,751.870	published	unverified
Ca II	ns 2S J=1/2	4–10	7	5	untested	2.1–8.2	+1.8192	0.0175	2	95,751.870	published	verified
Cd II	nd 2D J=3/2	5–13	9	7	untested	3.1–11.1	+1.8942	0.0159	2	136,374.740	published	unverified
Cd II	nf 2F* J=5/2	4–9	6	4	untested	4.0–8.9	+0.0489	0.0092	2	136,374.740	published	unverified
Cd II	ng 2G J=7/2	5–11	7	5	untested	5.0–11.0	+0.0076	0.0004	2	136,374.740	published	unverified
Cd II	np 2P* J=1/2	5–12†	7	5	untested	2.2–9.3	+2.7444	0.0319	2	136,374.740	published	unverified
Cd II	ns 2S J=1/2	5–13	9	7	untested	1.8–9.9	+3.1175	0.0330	2	136,374.740	published	unverified
Ca I	nd 1D J=2	4–9	6	4	untested	3.0–8.6	+0.9084	0.2360	1	49,305.950	published	unverified
Ca I	nd 3D J=1	4–9	6	4	untested	3.1–8.4	+0.8917	0.1405	1	49,305.950	published	unverified
Ca I	nf 1F* J=3	4–8	5	3	untested	4.0–7.9	+0.0654	0.0190	1	49,305.950	published	unverified
Ca I	nf 3F* J=2	4–9	6	4	untested	3.9–8.9	+0.0893	0.0059	1	49,305.950	published	unverified
Ca I	np 1P* J=1	5–10	6	4	untested	3.0–8.2	+1.8902	0.1793	1	49,305.950	published	unverified
Ca I	ns 1S J=0	5–11	7	5	untested	2.6–8.7	+2.3548	0.0350	1	49,305.950	published	unverified
Ca I	ns 3S J=1	5–11	7	5	untested	2.5–8.6	+2.4639	0.0227	1	49,305.950	published	unverified
Ar I	nd 2[7/2]* J=4	3–6	4	2	untested	2.8–5.6	+0.3516	0.0715	1	127,198.600	derived	unverified
Ar I	np 2[1/2] J=1	4–7	4	2	untested	2.2–5.2	+1.7855	0.0204	1	127,198.600	derived	unverified
Ar I	np 2[3/2] J=1	4–7	4	2	untested	2.3–5.3	+1.7107	0.0123	1	127,198.600	derived	unverified
Ar I	np 2[5/2] J=3	4–7	4	2	untested	2.2–5.2	+1.7437	0.0119	1	127,198.600	derived	unverified
Ar I	ns 2[3/2]* J=1	4–7	4	2	untested	1.8–4.8	+2.1701	0.0138	1	127,198.600	derived	unverified
Ar I	ns 2[3/2]* J=2	4–7	4	2	untested	1.8–4.8	+2.1886	0.0132	1	127,198.600	derived	unverified
Cd I	nd 1D J=2	5–15†	10	8	untested	2.9–12.8	+2.1886	0.0288	1	72,540.050	published	unverified
Cd I	nd 3D J=1	5–11	7	5	untested	2.9–8.9	+2.0898	0.0049	1	72,540.050	published	unverified
Cd I	nf 3F* J=3	4–10	7	5	untested	4.0–10.0	+0.0346	0.0034	1	72,540.050	published	unverified
Cd I	np 1P* J=1	6–12	7	5	untested	2.9–8.9	+3.0515	0.0005	1	72,540.050	published	unverified
Cd I	np 3P* J=0	6–10	5	3	untested	2.8–6.8	+3.1814	0.0184	1	72,540.050	published	unverified
Cd I	ns 1S J=0	6–15	10	8	untested	2.4–11.4	+3.5926	0.0131	1	72,540.050	published	unverified
Cd I	ns 3S J=1	6–16	11	9	untested	2.3–12.3	+3.6677	0.0188	1	72,540.050	published	unverified
Ga II	nd 1D J=2	4–7	4	2	untested	3.3–6.1	+0.8475	0.1127	2	165,465.800	published	unverified
Ga II	nd 3D J=1	4–7	4	2	untested	2.9–5.9	+1.0630	0.0133	2	165,465.800	published	unverified
Ga II	nf 1F* J=3	4–7	4	2	untested	4.0–6.9	+0.0598	0.0070	2	165,465.800	published	unverified
Ga II	nf 3F* J=2	4–7	4	2	untested	3.9–6.9	+0.0617	0.0080	2	165,465.800	published	unverified
Ga II	ng (1/2,7/2) J=3	5–8	4	2	untested	5.0–8.0	+0.0146	0.0012	2	165,465.800	published	unverified
Ga II	ng (1/2,9/2) J=5	5–8	4	2	untested	5.0–8.0	+0.0142	0.0010	2	165,465.800	published	unverified
Ga II	ns 1S J=0	5–8	4	2	untested	2.7–5.8	+2.2610	0.0138	2	165,465.800	published	unverified
Ga II	ns 3S J=1	5–8	4	2	untested	2.6–5.7	+2.3228	0.0169	2	165,465.800	published	unverified
Hg II	nd 2D J=3/2	6–11	6	4	untested	3.1–8.1	+2.8758	0.0227	2	151,269.200	derived	unverified
Hg II	nf 2F* J=7/2	5–8	4	2	untested	4.0–6.9	+1.0622	0.0083	2	151,269.200	derived	unverified
Hg II	ng 2G J=9/2	5–9	5	3	untested	5.0–9.0	+0.0053	0.0028	2	151,269.200	derived	unverified
Hg II	np 2P* J=1/2	6–8	3	1	untested	2.1–4.2	+3.8196	0.0624	2	151,269.200	derived	unverified
Hg II	ns 2S J=1/2	6–11	6	4	untested	1.7–6.8	+4.1850	0.0515	2	151,269.200	derived	unverified
P III	nd 2D J=5/2	3–6	4	2	untested	2.8–5.7	+0.2754	0.0451	3	243,573.700	derived	unverified
P III	ng 2G J=7/2	5–8	4	2	untested	5.0–8.0	+0.0197	0.0011	3	243,573.700	derived	unverified
P III	nh 2H* J=9/2	6–8	3	1	untested	6.0–8.0	+0.0024	0.0012	3	243,573.700	derived	unverified
P III	np 2P* J=1/2	4–6	3	1	untested	3.1–5.1	+0.8886	0.0128	3	243,573.700	derived	unverified
P III	ns 2S J=1/2	4–9	6	4	untested	2.8–7.8	+1.1692	0.0144	3	243,573.700	derived	unverified
Ba II	nd 2D J=3/2	5–25†	14	12	untested	2.4–22.6	+2.4147	0.0516	2	80,687.900	derived	unverified
Ba II	nf 2F* J=5/2	4–12	9	7	untested	3.7–11.1	+0.7559	0.1645	2	80,687.900	derived	unverified
Ba II	ng 2G J=7/2	5–10	6	4	untested	5.0–10.0	+0.0185	0.0022	2	80,687.900	derived	unverified
Ba II	np 2P* J=1/2	6–12	7	5	untested	2.7–8.8	+3.2408	0.0287	2	80,687.900	derived	unverified
Ba II	ns 2S J=1/2	6–30†	18	16	untested	2.3–26.4	+3.5984	0.0191	2	80,687.900	derived	unverified
Fe XVI	nd 2D J=3/2	3–8	6	4	untested	2.9–7.9	+0.0750	0.0031	16	3,946,570.000	published	unverified
Fe XVI	nf 2F* J=5/2	4–8	5	3	untested	4.0–8.0	+0.0116	0.0036	16	3,946,570.000	published	unverified
Fe XVI	np 2P* J=1/2	3–6	4	2	untested	2.8–5.8	+0.2233	0.0059	16	3,946,570.000	published	unverified
Fe XVI	ns 2S J=1/2	3–7	5	3	untested	2.7–6.7	+0.3174	0.0152	16	3,946,570.000	published	unverified
N III	nd 2D J=3/2	3–12	10	8	untested	2.9–11.9	+0.0737	0.0124	3	382,672.000	published	unverified
N III	nf 2F* J=5/2	4–7	4	2	untested	4.0–7.0	+0.0281	0.0048	3	382,672.000	published	unverified
N III	ng 2G J=7/2	5–7	3	1	untested	5.0–7.0	+0.0022	0.0009	3	382,672.000	published	unverified
N III *	nh 2H* J=9/2	6–7	2	1	untested	6.0–7.0	-0.0026	0.0009	3	382,672.000	published	unverified
N III	np 2P* J=1/2	3–5	3	1	untested	2.7–4.7	+0.2917	0.0185	3	382,672.000	published	unverified
N III	ns 2S J=1/2	3–14	12	10	untested	2.5–13.3	+0.5660	0.0740	3	382,672.000	published	unverified
N I	nd 2F J=5/2	3–5	3	1	untested	3.0–5.0	+0.0273	0.0024	1	117,244.100	derived	unverified
N I *	nd 4D J=1/2	3–4	2	1	untested	3.0–4.0	+0.0041	0.0041	1	117,244.100	derived	unverified
N I	nd 4F J=3/2	3–5	3	1	untested	3.0–4.9	+0.0514	0.0035	1	117,244.100	derived	unverified
N I	np 2D* J=3/2	3–5	3	1	untested	2.3–4.5	+0.6233	0.0955	1	117,244.100	derived	unverified
N I	np 4D* J=1/2	3–5	3	1	untested	2.2–4.2	+0.7714	0.0136	1	117,244.100	derived	unverified
N I	np 4P* J=1/2	3–5	3	1	untested	2.2–4.3	+0.7329	0.0169	1	117,244.100	derived	unverified
N I	ns 2P J=1/2	3–6	4	2	untested	1.9–4.9	+1.1040	0.0116	1	117,244.100	derived	unverified
N I	ns 4P J=1/2	3–6	4	2	untested	1.8–4.8	+1.1697	0.0190	1	117,244.100	derived	unverified
S IV	nd 2D J=3/2	3–5	3	1	untested	2.8–4.7	+0.2649	0.0197	4	382,135.000	derived	unverified
S IV	np 2P* J=1/2	4–7	4	2	untested	3.2–6.2	+0.7607	0.0167	4	382,135.000	derived	unverified
S IV	ns 2S J=1/2	4–7	4	2	untested	3.0–6.0	+1.0264	0.0100	4	382,135.000	derived	unverified
S VI	nd 2D J=3/2	3–9†	6	4	untested	2.9–8.9	+0.0925	0.0069	6	710,194.700	published	unverified
S VI	nf 2F* J=5/2	4–10	7	5	untested	4.0–10.0	+0.0074	0.0011	6	710,194.700	published	unverified
S VI *	ng 2G J=7/2	5–6	2	1	untested	5.0–6.0	+0.0010	0.0001	6	710,194.700	published	unverified
S VI *	nh 2H* J=9/2	6–7	2	1	untested	6.0–7.0	+0.0003	0.0001	6	710,194.700	published	unverified
S VI	np 2P* J=1/2	3–7	5	3	untested	2.6–6.6	+0.4228	0.0110	6	710,194.700	published	unverified
S VI	ns 2S J=1/2	3–8	6	4	untested	2.4–7.4	+0.6242	0.0083	6	710,194.700	published	unverified
Al IV *	nf 2[5/2] J=3	4–5	2	1	untested	4.0–5.0	+0.0349	0.0100	4	968,924.400	derived	unverified
Al IV	ns 2[3/2]* J=2	3–5	3	1	untested	2.2–4.2	+0.7638	0.0042	4	968,924.400	derived	unverified
B II	nd 1D J=2	3–7	5	3	untested	3.0–7.1	-0.0323	0.0111	2	202,691.900	derived	unverified
B II	nd 3D J=1	3–6	4	2	untested	2.9–5.9	+0.0772	0.0138	2	202,691.900	derived	unverified
B II	nf 3F* J=2	4–7	4	2	untested	4.0–6.9	+0.0397	0.0132	2	202,691.900	derived	unverified
B II	ng 3G J=3	5–7	3	1	untested	5.0–7.1	-0.0401	0.0192	2	202,691.900	derived	unverified
