species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Bi II	6s2.6p.nd (1/2,3/2)* J=1	6–14	9	7	untested	2.8–11.0	+2.9846	0.0626	2	134,720.000	published	unverified
Bi II	6s2.6p.nd (1/2,3/2)* J=2	6–10†	4	2	untested	2.8–6.9	+3.1079	0.0545	2	134,720.000	published	unverified
Bi II	6s2.6p.nd (1/2,5/2)* J=2	6–8	3	1	untested	2.9–5.0	+3.0001	0.1072	2	134,720.000	published	unverified
Bi II	6s2.6p.nf (1/2,5/2) J=3	5–8†	3	1	untested	3.9–6.8	+1.1755	0.0437	2	134,720.000	published	unverified
Bi II	6s2.6p.nf (1/2,7/2) J=4	5–8†	3	1	untested	3.9–6.8	+1.1468	0.0343	2	134,720.000	published	unverified
Bi II	6s2.6p.ns (1/2,1/2)* J=0	7–9	3	1	untested	2.6–4.7	+4.3705	0.0333	2	134,720.000	published	unverified
Bi II	6s2.6p.ns (1/2,1/2)* J=1	7–9	3	1	untested	2.6–4.7	+4.3684	0.0313	2	134,720.000	published	unverified
Ne I	2s22p5(2P*3/2)nd 2[3/2]* J=1	13–20	8	6	untested	13.0–20.0	+0.0154	0.0024	1	173,929.750	published	unverified
Ne I	2s22p5(2P*3/2)ns 2[3/2]* J=1	12–20	9	7	untested	10.7–18.7	+1.2923	0.0047	1	173,929.750	published	unverified
Ne I	nd 2[3/2]* J=1	11–20	10	8	untested	11.0–20.0	+0.0119	0.0043	1	174,710.090	constructed	unverified
Ne I	ns 2[1/2]* J=1	11–20	10	8	untested	9.7–18.7	+1.2974	0.0038	1	174,710.090	constructed	unverified
Li II	1s.nd 1D J=2	3–10	8	6	untested	3.0–10.0	+0.0011	0.0001	2	610,078.400	published	unverified
Li II	1s.nd 3D J=2	3–10	8	6	untested	3.0–10.0	+0.0027	0.0003	2	610,078.400	published	unverified
Li II	1s.nf 1F* J=3	4–10	7	5	untested	4.0–10.0	+0.0000	0.0002	2	610,078.400	published	unverified
Li II	1s.nf 3F* J=3	4–10	7	5	untested	4.0–10.0	+0.0006	0.0002	2	610,078.400	published	unverified
Li II	1s.ng 1G J=4	5–9	5	3	untested	5.0–9.0	+0.0000	0.0000	2	610,078.400	published	unverified
Li II	1s.nh 1H* J=5	6–9	4	2	untested	6.0–9.0	-0.0000	0.0000	2	610,078.400	published	unverified
Li II	1s.np 1P* J=1	2–14	13	11	untested	2.0–14.0	-0.0144	0.0014	2	610,078.400	published	unverified
Li II	1s.np 3P* J=1	2–10	9	7	untested	1.9–9.9	+0.0543	0.0004	2	610,078.400	published	unverified
Li II	1s.ns 1S J=0	2–10	9	7	untested	1.9–9.9	+0.0744	0.0010	2	610,078.400	published	unverified
Li II	1s.ns 3S J=1	2–10	9	7	untested	1.8–9.8	+0.1814	0.0035	2	610,078.400	published	unverified
Si I	nd (3/2,3/2)* J=1	20–50	31	29	29/29	20.0–50.0	+0.0126	0.0444	1	66,035.000	published	unverified
Si I	nd (3/2,5/2)* J=3	20–56	37	35	35/35	19.9–56.0	+0.0570	0.0366	1	66,035.000	published	unverified
Zn I	nd 1D J=2	12–20	9	7	untested	10.8–18.8	+1.2232	0.0018	1	75,769.310	published	unverified
Zn I	np 1P* J=1	13–40	28	26	untested	10.9–37.9	+2.0966	0.0033	1	75,769.310	published	unverified
Ba III	nd 2[3/2]* J=2	7–16	10	8	8/8	4.8–13.8	+2.1786	0.0136	3	306,650.000	published	unverified
Ba III	ns 2[1/2]* J=1	8–17	10	8	untested	4.8–13.8	+3.2300	0.0154	3	306,650.000	published	unverified
Ba III	nd 2[3/2]* J=2	8–22†	14	12	untested	5.9–19.9	+2.1273	0.0227	3	289,100.000	published	unverified
Ba III	ns 2[3/2]* J=1	9–23	15	13	untested	5.8–19.9	+3.2018	0.0273	3	289,100.000	published	unverified
Ne II	nd 4D J=3/2	3–6	4	2	untested	2.9–5.9	+0.0700	0.0012	2	330,388.600	published	unverified
Ne II	nd 4D J=5/2	3–6	4	2	untested	2.9–5.9	+0.0773	0.0036	2	330,388.600	published	unverified
Ne II	nd 4D J=7/2	3–6	4	2	untested	2.9–5.9	+0.0813	0.0047	2	330,388.600	published	unverified
Ne II	nd 4F J=9/2	3–6	4	2	untested	3.0–5.9	+0.0547	0.0070	2	330,388.600	published	unverified
Ne II	ns 2P J=1/2	3–7	5	3	untested	2.0–6.3	+0.8636	0.0857	2	330,388.600	published	unverified
Ne II	ns 2P J=3/2	3–7	5	3	untested	2.0–6.0	+0.9480	0.0143	2	330,388.600	published	unverified
Ne II	ns 4P J=1/2	3–7	5	3	untested	2.0–6.2	+0.9132	0.0743	2	330,388.600	published	unverified
Ne II	ns 4P J=3/2	3–7	5	3	untested	2.0–6.2	+0.9261	0.0730	2	330,388.600	published	unverified
Ne II	ns 4P J=5/2	3–7	5	3	untested	2.0–6.0	+0.9906	0.0125	2	330,388.600	published	unverified
Ne II	nd 2S J=1/2	3–8	6	4	untested	3.0–7.9	+0.0701	0.0422	2	356,229.300	published	unverified
Ne II	ns 2D J=3/2	3–5	3	1	untested	2.0–4.0	+0.9850	0.0115	2	356,229.300	published	unverified
Ne II	ns 2D J=5/2	3–5	3	1	untested	2.0–4.0	+0.9850	0.0115	2	356,229.300	published	unverified
Ne I	np 1P* J=1	3–12	10	8	untested	2.2–11.1	+0.8409	0.0191	1	390,977.350	constructed	unverified
Ne II	np 2D* J=3/2	3–6	4	2	untested	2.4–5.5	+0.5651	0.0645	2	330,388.600	published	unverified
Ne II	np 2D* J=5/2	3–6	4	2	untested	2.4–5.4	+0.6294	0.0117	2	330,388.600	published	unverified
Ne II	np 2S* J=1/2	3–6	4	2	untested	2.4–5.4	+0.6010	0.0199	2	330,388.600	published	unverified
Ne II	np 4D* J=1/2	3–6	4	2	untested	2.3–5.5	+0.5916	0.0576	2	330,388.600	published	unverified
Ne II	np 4D* J=5/2	3–6	4	2	untested	2.3–5.5	+0.6055	0.0551	2	330,388.600	published	unverified
Ne II	np 4D* J=7/2	3–6	4	2	untested	2.3–5.4	+0.6541	0.0133	2	330,388.600	published	unverified
Ne II	np 4P* J=1/2	3–6	4	2	untested	2.3–5.4	+0.6430	0.0585	2	330,388.600	published	unverified
Ne II	np 4P* J=3/2	3–6	4	2	untested	2.3–5.3	+0.6767	0.0235	2	330,388.600	published	unverified
Ne II	np 4P* J=5/2	3–6	4	2	untested	2.3–5.3	+0.6884	0.0174	2	330,388.600	published	unverified
Ne II	np 4S* J=3/2	3–6	4	2	untested	2.4–5.5	+0.5679	0.0424	2	330,388.600	published	unverified
Ne II	nf 2[2]* J=5/2	5–8	4	2	untested	5.0–8.0	+0.0039	0.0001	2	330,388.600	published	unverified
Ne II	nf 2[3]* J=7/2	5–8	4	2	untested	5.0–8.0	+0.0086	0.0001	2	330,388.600	published	unverified
Ne II	nf 2[4]* J=7/2	5–8	4	2	untested	5.0–8.0	+0.0096	0.0002	2	330,388.600	published	unverified
Ne II	nf 2[4]* J=9/2	5–8	4	2	untested	5.0–8.0	+0.0098	0.0002	2	330,388.600	published	unverified
Ne II	nf 2[5]* J=11/2	5–8	4	2	untested	5.0–8.0	+0.0025	0.0003	2	330,388.600	published	unverified
Ne II	ng 2[2] J=3/2	5–7	3	1	untested	5.0–7.0	-0.0016	0.0001	2	330,388.600	published	unverified
Ne II	ng 2[3] J=5/2	5–7	3	1	untested	5.0–7.0	+0.0010	0.0001	2	330,388.600	published	unverified
Ne II	ng 2[4] J=7/2	5–7	3	1	untested	5.0–7.0	+0.0029	0.0001	2	330,388.600	published	unverified
Ne II	ng 2[5] J=9/2	5–7	3	1	untested	5.0–7.0	+0.0030	0.0001	2	330,388.600	published	unverified
Ne II	ng 2[6] J=11/2	5–7	3	1	untested	5.0–7.0	-0.0002	0.0001	2	330,388.600	published	unverified
Ar II	ng 2[4] J=9/2	6–8	3	1	untested	6.0–8.0	+0.0089	0.0036	2	222,848.300	published	unverified
Ar II	ng 2[6] J=11/2	6–8	3	1	untested	6.0–8.0	+0.0035	0.0003	2	222,848.300	published	unverified
Ar II	ng 2[6] J=13/2	6–8	3	1	untested	6.0–8.0	+0.0035	0.0002	2	222,848.300	published	unverified
Ar II *	ng 2[2] J=3/2	6–7	2	1	untested	6.0–7.0	-0.0006	0.0002	2	222,848.300	published	unverified
Ar II *	ng 2[2] J=5/2	6–7	2	1	untested	6.0–7.0	-0.0006	0.0002	2	222,848.300	published	unverified
Ar II *	ng 2[3] J=5/2	6–7	2	1	untested	6.0–7.0	+0.0063	0.0001	2	222,848.300	published	unverified
Ar II *	ng 2[3] J=7/2	6–7	2	1	untested	6.0–7.0	+0.0063	0.0001	2	222,848.300	published	unverified
