Z	charge	l	mult	term	parent	language	n_lo	n_hi	members_stored	members_found	count_match	delta_stored	delta_median	delta_mean	delta_asym	spread	bracketed	asym_bracketed	delta_status	refusal
32	1	2	3	3P*		LS	4	5	6	6	yes	0.88662	0.88662	0.87708	0.83121	0.32856	0	no	usable	
32	1	0	0	(1/2,1/2)*		jj	6	43	68	68	yes	2.88466	2.88466	2.88006	2.87834	0.12564	0	no	usable	
32	1	0	0	(3/2,1/2)*		jj	6	33	49	49	yes	2.86568	2.86568	2.87419	2.84760	0.07256	0	no	usable	
32	1	3	2	2[7/2]	2P*<1/2>	jK	4	7	8	8	yes	0.02640	0.02640	0.02737	0.03012	0.00704	0	no	usable	
32	1	3	2	2[5/2]	2P*<1/2>	jK	4	7	8	8	yes	0.02495	0.02495	0.02551	0.02568	0.00717	0	no	usable	
32	1	2	0	*		unresolved	5	5	3	3	yes	0.38923	0.38923	0.52438	0.98043	0.77693	0	no	usable	
32	1	2	0	(3/2,3/2)*		jj	6	41	85	85	yes	1.25782	1.25782	1.52851	1.29265	25.01763	0	no	usable	
32	1	3	2	2[7/2]	2P*<3/2>	jK	4	6	6	6	yes	0.04890	0.04890	0.04863	0.05093	0.00452	0	no	usable	
32	1	3	2	2[5/2]	2P*<3/2>	jK	4	5	4	4	yes	0.03014	0.03014	0.03018	0.03121	0.00198	0	no	usable	
32	1	3	2	2[9/2]	2P*<3/2>	jK	4	7	7	7	yes	0.01731	0.01731	0.01668	0.02077	0.00823	0	no	usable	
32	1	3	2	2[3/2]	2P*<3/2>	jK	4	5	4	4	yes	-0.00416	-0.00416	-0.00422	-0.00182	0.00490	0	no	usable	
32	1	2	0	(1/2,3/2)*		jj	6	67	82	82	yes	1.31584	1.31584	1.35426	1.83277	1.07465	0	no	usable	
32	1	2	0	(1/2,5/2)*		jj	6	70	90	91	no	1.21619	1.21358	1.20754	1.37260	0.90882	0	no	usable	
32	1	2	0	(3/2,5/2)*		jj	6	64	127	130	no	0.96223	0.96126	0.95590	0.92193	0.52972	0	no	usable	
32	1	4	0	(1/2,7/2)*		jj	6	15	8	8	yes	0.00683	0.00683	0.00769	0.01355	0.00779	0	no	usable	
72	1	0	3	a 3F		LS	6	6	3	0	no									outer_occupancy_gt_1
72	1	0	3	a 3P		LS	6	6	3	0	no									outer_occupancy_gt_1
72	1	1	3	z 3D*	a_2D	LS	6	6	3	3	yes	4.32008	4.32008	4.31823	4.36459	0.09458	0	no	usable	
72	1	0	5	a 5F	b_4F	LS	6	6	5	5	yes	4.33057	4.33057	4.32636	4.36311	0.08188	0	no	void — limit is not this parent's core	
72	1	1	3	z 3F*	a_2D	LS	6	6	3	3	yes	4.35405	4.35405	4.32799	4.35621	0.08252	0	no	usable	
72	1	1	5	z 5G*	a_4F	LS	6	6	5	5	yes	4.20577	4.20577	4.19181	4.27869	0.20459	0	no	void — limit is not this parent's core	
72	1	1	3	z 3P*	a_2D	LS	6	6	3	3	yes	4.27264	4.27264	4.26134	4.27560	0.03984	0	no	usable	
72	1	0	5	a 5P	b_4P	LS	6	6	3	3	yes	4.20713	4.20713	4.19658	4.21037	0.03812	0	no	void — limit is not this parent's core	
