Z	charge	l	mult	delta	grade	source	B	witness	bound	tier
72	0	0	3	2.12194	measured	NIST ASD fetched 2026-08-14 (session 1.8); series g 3P [2P] n=6-6	0.14367	witnessed	3 members; limit 55047.9	B
72	0	1	5	1.85929	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5P* [b_4P] n=6-6	0.33103	witnessed	3 members; limit 55047.9	C
72	0	0	3	2.06657	measured	NIST ASD fetched 2026-08-14 (session 1.8); series g 3D [2D] n=6-6	0.11827	witnessed	3 members; limit 55047.9	B
72	0	2	3	0.67525	measured	NIST ASD fetched 2026-08-14 (session 1.8); series b 3H [] n=5-5	1.18446	witnessed	3 members; limit 55047.9	C
72	0	2	3	0.78558	measured	NIST ASD fetched 2026-08-14 (session 1.8); series h 3F [] n=5-5	0.24745	witnessed	3 members; limit 55047.9	C
72	0	1	5	1.15936	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 5D* [b_4P] n=6-6	1.94916	witnessed	5 members; limit 55047.9	C
72	0	2	3	0.87490	measured	NIST ASD fetched 2026-08-14 (session 1.8); series c 3G [] n=5-5	0.41407	witnessed	3 members; limit 55047.9	C
72	0	0	3	2.82689	measured	NIST ASD fetched 2026-08-14 (session 1.8); series i 3F [a_2F] n=7-7	0.18050	witnessed	3 members; limit 55047.9	B
72	0	2	3	0.77291	measured	NIST ASD fetched 2026-08-14 (session 1.8); series h 3D [] n=5-5	0.05919	witnessed	3 members; limit 55047.9	B
72	0	1	3	0.86920	measured	NIST ASD fetched 2026-08-14 (session 1.8); series s 3D* [b_4F] n=6-6	1.42570	witnessed	3 members; limit 55047.9	C
72	0	1	3	1.16456	measured	NIST ASD fetched 2026-08-14 (session 1.8); series t 3F* [b_4F] n=6-6	1.96792	witnessed	3 members; limit 55047.9	C
80	0	0	1	4.63928	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1S [] n=6-20	0.22324	witnessed	15 members; limit 84184.15	C
80	0	1	3	4.20528	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P* [] n=6-20	0.37242	witnessed	43 members; limit 84184.15	C
