# AME2020 Table I — the 2020 atomic mass table.
# Meng Wang, W.J. Huang, F.G. Kondev, G. Audi, S. Naimi,
# Chinese Physics C 45, 030003 (2021), Table I, pages 030003-6 to 030003-75.
# Extracted from the PDF supplied by M, pdftotext -layout, PDF pages 7-76.
#
# THIS IS THE PUBLISHED ROUNDED TABLE, not mass_1.mas20. AME rounds to a
# precision set by the uncertainty, so values differ from the ASCII file by
# up to ~0.1 sigma. Verified against the Argonne mass_1.mas20 text on the
# A = 9 chain: max deviation 4.174 keV on 9He, which is 0.089 sigma.
#
# A is RECOMPUTED as N + Z; the printed A is used only as a check and
# matched on every row where it appears (0 mismatches).
# quality: M = measured, E = estimated (# in the source).
# Z	N	A	symbol	mass_excess_keV	unc_keV	quality
17	32	49	Cl	740.0	400.0	E
17	33	50	Cl	7700.0	400.0	E
17	34	51	Cl	14290.0	700.0	E
17	35	52	Cl	22360.0	700.0	E
18	11	29	Ar	37970.0	440.0	E
18	12	30	Ar	22070.0	180.0	E
18	13	31	Ar	11330.0	200.0	E
18	14	32	Ar	-2200.4	1.8	M
18	15	33	Ar	-9384.3	0.4	M
18	16	34	Ar	-18378.29	0.08	M
18	17	35	Ar	-23047.3	0.7	M
18	18	36	Ar	-30231.542	0.027	M
18	19	37	Ar	-30947.68	0.21	M
18	20	38	Ar	-34714.83	0.19	M
18	21	39	Ar	-33242.0	5.0	M
18	22	40	Ar	-35039.9	0.0022	M
18	23	41	Ar	-33067.5	0.3	M
18	24	42	Ar	-34423.0	6.0	M
18	25	43	Ar	-32010.0	5.0	M
18	26	44	Ar	-32673.3	1.6	M
18	27	45	Ar	-29770.8	0.5	M
18	28	46	Ar	-29771.3	2.3	M
18	29	47	Ar	-25367.3	1.2	M
18	30	48	Ar	-22355.0	17.0	M
18	31	49	Ar	-17060.0	400.0	E
18	32	50	Ar	-13230.0	500.0	E
18	33	51	Ar	-6490.0	400.0	E
18	34	52	Ar	-1380.0	600.0	E
18	35	53	Ar	6790.0	700.0	E
18	36	54	Ar	12560.0	800.0	E
19	12	31	K	34260.0	300.0	E
19	13	32	K	21990.0	400.0	E
19	14	33	K	7540.0	200.0	E
19	15	34	K	-1220.0	200.0	E
