sg	system	bravais	pg_order	k	star	little_order	m	nontrivial_multiplier	n_smallreps	dims	max_dim	sticking
47	orthorhombic	oP	8	1/2,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
47	orthorhombic	oP	8	1/2,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
47	orthorhombic	oP	8	1/2,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
47	orthorhombic	oP	8	1/2,1/2,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
48	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
48	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
48	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
48	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
48	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
48	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
48	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
48	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	0	8	1+1+1+1+1+1+1+1	1	0
49	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
49	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
49	orthorhombic	oP	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
49	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
49	orthorhombic	oP	8	1/2,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
49	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
49	orthorhombic	oP	8	1/2,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
49	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
50	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
50	orthorhombic	oP	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
50	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
50	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
50	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
50	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
50	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
50	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
51	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
51	orthorhombic	oP	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
51	orthorhombic	oP	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
51	orthorhombic	oP	8	0/1,1/2,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
51	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
51	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
51	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
51	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
52	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
52	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
52	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
52	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
52	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
