sg	system	pg_order	little_group	star	factor_order	n_small_reps	max_dim	dims
63	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
63	orthorhombic	8	8	1	2	2	2	2+2
63	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
63	orthorhombic	8	8	1	2	2	2	2+2
63	orthorhombic	8	4	2	1	4	1	1+1+1+1
63	orthorhombic	8	4	2	2	1	2	2
64	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
64	orthorhombic	8	8	1	2	2	2	2+2
64	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
64	orthorhombic	8	8	1	2	2	2	2+2
64	orthorhombic	8	4	2	2	1	2	2
64	orthorhombic	8	4	2	2	4	1	1+1+1+1
65	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
65	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
65	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
65	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
65	orthorhombic	8	4	2	1	4	1	1+1+1+1
65	orthorhombic	8	4	2	1	4	1	1+1+1+1
66	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
66	orthorhombic	8	8	1	2	2	2	2+2
66	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
66	orthorhombic	8	8	1	2	2	2	2+2
66	orthorhombic	8	4	2	1	4	1	1+1+1+1
66	orthorhombic	8	4	2	1	4	1	1+1+1+1
67	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
67	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
67	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
67	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
67	orthorhombic	8	4	2	2	1	2	2
67	orthorhombic	8	4	2	2	1	2	2
68	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
68	orthorhombic	8	8	1	2	2	2	2+2
68	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
68	orthorhombic	8	8	1	2	2	2	2+2
68	orthorhombic	8	4	2	2	1	2	2
68	orthorhombic	8	4	2	2	1	2	2
69	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
69	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
69	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
69	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
69	orthorhombic	8	2	4	1	2	1	1+1
70	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
70	orthorhombic	8	8	1	2	2	2	2+2
70	orthorhombic	8	8	1	2	2	2	2+2
70	orthorhombic	8	8	1	2	2	2	2+2
70	orthorhombic	8	2	4	4	2	1	1+1
71	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
71	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
71	orthorhombic	8	4	2	1	4	1	1+1+1+1
71	orthorhombic	8	4	2	1	4	1	1+1+1+1
71	orthorhombic	8	4	2	1	4	1	1+1+1+1
71	orthorhombic	8	4	2	1	4	1	1+1+1+1
72	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
72	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
72	orthorhombic	8	4	2	2	1	2	2
72	orthorhombic	8	4	2	1	4	1	1+1+1+1
72	orthorhombic	8	4	2	2	4	1	1+1+1+1
72	orthorhombic	8	4	2	2	1	2	2
73	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
73	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
73	orthorhombic	8	4	2	2	1	2	2
73	orthorhombic	8	4	2	2	1	2	2
73	orthorhombic	8	4	2	2	1	2	2
73	orthorhombic	8	4	2	2	1	2	2
74	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
74	orthorhombic	8	8	1	1	8	1	1+1+1+1+1+1+1+1
74	orthorhombic	8	4	2	1	4	1	1+1+1+1
74	orthorhombic	8	4	2	2	1	2	2
74	orthorhombic	8	4	2	2	1	2	2
74	orthorhombic	8	4	2	1	4	1	1+1+1+1
81	tetragonal	4	4	1	1	4	1	1+1+1+1
81	tetragonal	4	4	1	1	4	1	1+1+1+1
81	tetragonal	4	4	1	1	4	1	1+1+1+1
81	tetragonal	4	4	1	1	4	1	1+1+1+1
82	tetragonal	4	4	1	1	4	1	1+1+1+1
82	tetragonal	4	4	1	1	4	1	1+1+1+1
82	tetragonal	4	4	1	1	4	1	1+1+1+1
82	tetragonal	4	4	1	1	4	1	1+1+1+1
83	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
83	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
83	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
83	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
83	tetragonal	8	4	2	1	4	1	1+1+1+1
83	tetragonal	8	4	2	1	4	1	1+1+1+1
84	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
84	tetragonal	8	8	1	2	2	2	2+2
84	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
84	tetragonal	8	8	1	2	2	2	2+2
84	tetragonal	8	4	2	1	4	1	1+1+1+1
84	tetragonal	8	4	2	1	4	1	1+1+1+1
85	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
85	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
85	tetragonal	8	8	1	2	2	2	2+2
85	tetragonal	8	8	1	2	2	2	2+2
85	tetragonal	8	4	2	2	1	2	2
